name,profile_link
Mo Abdallah,https://ecs.syracuse.edu/faculty-staff/mo-abdallah
Riyad S. Aboutaha,https://ecs.syracuse.edu/faculty-staff/riyad-s-aboutaha
Nicole Adkins,https://ecs.syracuse.edu/faculty-staff/nicole-adkins
Jeongmin Ahn,https://ecs.syracuse.edu/faculty-staff/jeongmin-ahn
Ben Akih-Kumgeh,https://ecs.syracuse.edu/faculty-staff/ben-akih-kumgeh
Alaa Alawaad,https://ecs.syracuse.edu/faculty-staff/alaa-alawaad
Sharon Alestalo,https://ecs.syracuse.edu/faculty-staff/sharon-alestalo
Sahar Almahmoud,https://ecs.syracuse.edu/faculty-staff/sahar-almahmoud
Jackie Anderson,https://ecs.syracuse.edu/faculty-staff/jackie-anderson
Michelle Anson-Silverstein,https://ecs.syracuse.edu/faculty-staff/michelle-anson-silverstein
Chris Barbera,https://ecs.syracuse.edu/faculty-staff/chris-barbera
Marjory Baruch,https://ecs.syracuse.edu/faculty-staff/marjory-baruch
Hind BenGabr,https://ecs.syracuse.edu/faculty-staff/hind-bengabr
Shelby Bergen,https://ecs.syracuse.edu/faculty-staff/shelby-bergen
Gabriela Bermudez,https://ecs.syracuse.edu/faculty-staff/gabriela-bermudez
Shobha K. Bhatia,https://ecs.syracuse.edu/faculty-staff/shobha-k-bhatia
Michael Blatchley,https://ecs.syracuse.edu/faculty-staff/michael-blatchley
Michelle M. Blum,https://ecs.syracuse.edu/faculty-staff/michelle-m-blum
Ed Bogucz,https://ecs.syracuse.edu/faculty-staff/ed-bogucz
Jesse Q. Bond,https://ecs.syracuse.edu/faculty-staff/jesse-q-bond
Kathryn Bradford,https://ecs.syracuse.edu/faculty-staff/kathryn-bradford
Thomas E. Braga,https://ecs.syracuse.edu/faculty-staff/tom-braga
Tim Breen,https://ecs.syracuse.edu/faculty-staff/tim-breen
Cynthia M. Bromka-Skafidas,https://ecs.syracuse.edu/faculty-staff/cynthia-m-bromka-skafidas
Mary Beth Browning Monroe,https://ecs.syracuse.edu/faculty-staff/mary-beth-browning-monroe
Katie Cadwell,https://ecs.syracuse.edu/faculty-staff/katie-cadwell
Yue Cao,https://ecs.syracuse.edu/faculty-staff/yue-cao
Heather Carroll,https://ecs.syracuse.edu/faculty-staff/heather-carrol
Elizabeth Carter,https://ecs.syracuse.edu/faculty-staff/elizabeth-carter
David Chandler,https://ecs.syracuse.edu/faculty-staff/david-chandler
C.Y. Roger Chen,https://ecs.syracuse.edu/faculty-staff/c-y-roger-chen
Ruth Chen,https://ecs.syracuse.edu/faculty-staff/ruth-chen
Biao Chen,https://ecs.syracuse.edu/faculty-staff/biao-chen
Shiu-Kai Chin,https://ecs.syracuse.edu/faculty-staff/shiu-kai-chin
Nicholas Clarke,https://ecs.syracuse.edu/faculty-staff/nick-clarke
Megan Claxton,https://ecs.syracuse.edu/faculty-staff/megan-claxton
Sam Clemence,https://ecs.syracuse.edu/faculty-staff/sam-clemence
Sarah Collins,https://ecs.syracuse.edu/faculty-staff/sarah-collins
Andria Costello Staniec,https://ecs.syracuse.edu/faculty-staff/andria-costello-staniec
Don Crampton,https://ecs.syracuse.edu/faculty-staff/don-crampton
John F. Dannenhoffer III,https://ecs.syracuse.edu/faculty-staff/john-f-dannenhoffer-iii
Cliff I. Davidson,https://ecs.syracuse.edu/faculty-staff/cliff-i-davidson
Gabriel Silva De Oliveira,https://ecs.syracuse.edu/faculty-staff/gabriel-silva-de-oliveira
Alexander Deyhim,https://ecs.syracuse.edu/faculty-staff/alexander-deyhim
Rick DiRubbo,https://ecs.syracuse.edu/faculty-staff/rick-dirubbo
Karen Dixon-Cherebin,https://ecs.syracuse.edu/faculty-staff/karen-dixon-cherebin
Bing Dong,https://ecs.syracuse.edu/faculty-staff/bing-dong
Charles T. Driscoll,https://ecs.syracuse.edu/faculty-staff/charles-t-driscoll
Victor Duenas,https://ecs.syracuse.edu/faculty-staff/victor-duenas
Alex Dunbar,https://ecs.syracuse.edu/faculty-staff/alex-dunbar
Jennifer Duque,https://ecs.syracuse.edu/faculty-staff/jennifer-duque
Sara Eftekharnejad,https://ecs.syracuse.edu/faculty-staff/sara-eftekharnejad
Ehat Ercanli,https://ecs.syracuse.edu/faculty-staff/ehat-ercanli
Matthew Erdman,https://ecs.syracuse.edu/faculty-staff/matthew-erdman
Makan Fardad,https://ecs.syracuse.edu/faculty-staff/makan-fardad
Jennifer Fazio,https://ecs.syracuse.edu/faculty-staff/jennifer-fazio
Yoanna Ferrara,https://ecs.syracuse.edu/faculty-staff/yoanna-ferrara
Eric Finkelstein,https://ecs.syracuse.edu/faculty-staff/eric-finkelstein
Abby Fite,https://ecs.syracuse.edu/faculty-staff/abby-fite
Heather Flaherty,https://ecs.syracuse.edu/faculty-staff/heather-flaherty
Amelia Forbes,https://ecs.syracuse.edu/faculty-staff/amelia-forbes
Chelsey Franza,https://ecs.syracuse.edu/faculty-staff/chelsey-franza
Mia Funderburg,https://ecs.syracuse.edu/faculty-staff/mia-davis
Zhenyu Gan,https://ecs.syracuse.edu/faculty-staff/zhenyu-gan
Venkata S.S. Gandikota,https://ecs.syracuse.edu/faculty-staff/venkata-s-s-gandikota
Natarajan Gautam,https://ecs.syracuse.edu/faculty-staff/natarajan-gautam
Nadeem Ghani,https://ecs.syracuse.edu/faculty-staff/nadeem-ghani
Prasanta K. Ghosh,https://ecs.syracuse.edu/faculty-staff/prasanta-k-ghosh
Michael Glinski,https://ecs.syracuse.edu/faculty-staff/michael-glinski
Jennifer W. Graham,https://ecs.syracuse.edu/faculty-staff/jennifer-w-graham
Amy Gullotta,https://ecs.syracuse.edu/faculty-staff/amy-gullota
M. Cenk Gursoy,https://ecs.syracuse.edu/faculty-staff/mustafa-cenk-gursoy
Matthew Hanley,https://ecs.syracuse.edu/faculty-staff/matthew-hanley
Moamer (Mo) Hasanovic,https://ecs.syracuse.edu/faculty-staff/moamer-mo-hasanovic
Julie M. Hasenwinkel,https://ecs.syracuse.edu/faculty-staff/julie-m-hasenwinkel
James (Jay) Henderson,https://ecs.syracuse.edu/faculty-staff/james-h-henderson
Endadul Hoque,https://ecs.syracuse.edu/faculty-staff/endadul-hoque
Ian D. Hosein,https://ecs.syracuse.edu/faculty-staff/ian-d-hosein
Jonathan Hoster,https://ecs.syracuse.edu/faculty-staff/jonathan-hoster
Wei (Frank) Hu,https://ecs.syracuse.edu/faculty-staff/wei-frank-wu
Kara Hughes,https://ecs.syracuse.edu/faculty-staff/kara-hughes
Britton Inglehart,https://ecs.syracuse.edu/faculty-staff/britton-inglehart
Can Isik,https://ecs.syracuse.edu/faculty-staff/can-isik
Era Jain,https://ecs.syracuse.edu/faculty-staff/era-jain
Pankaj K. Jha,https://ecs.syracuse.edu/faculty-staff/pankaj-k-jha
Chris E. Johnson,https://ecs.syracuse.edu/faculty-staff/chris-e-johnson
Alex K. Jones,https://ecs.syracuse.edu/faculty-staff/alex-k-jones
Andrea Joseph,https://ecs.syracuse.edu/faculty-staff/andrea-joseph
Kathleen M. Joyce,https://ecs.syracuse.edu/faculty-staff/kathleen-m-joyce
Michaela Karcher,https://ecs.syracuse.edu/faculty-staff/michaela-karcher
Sue Karlik,https://ecs.syracuse.edu/faculty-staff/sue-karlik
Garrett Ethan Katz,https://ecs.syracuse.edu/faculty-staff/garret-ethan-katz
Sean K. Kelly,https://ecs.syracuse.edu/faculty-staff/sean-kelly
Lance S. Ketcham,https://ecs.syracuse.edu/faculty-staff/lance-s-ketcham
Bryan S. Kim,https://ecs.syracuse.edu/faculty-staff/bryan-s-kim
Shawn L. Knight,https://ecs.syracuse.edu/faculty-staff/shawn-l-knight
Mary Margaret Koppers,https://ecs.syracuse.edu/faculty-staff/mary-margaret-koppers
Rodrick Kuate Defo,https://ecs.syracuse.edu/faculty-staff/rodrick-kuate-defo
Saman Priyantha Kumarawadu,https://ecs.syracuse.edu/faculty-staff/saman-priyantha-kumarawadu
Lihong Lao,https://ecs.syracuse.edu/faculty-staff/lihong-lao
Taylor Larsen,https://ecs.syracuse.edu/faculty-staff/taylor-larsen-2
Kasey Laurent,https://ecs.syracuse.edu/faculty-staff/kasey-laurent
Andrew C. Lee,https://ecs.syracuse.edu/faculty-staff/andrew-c-lee
Andra Lee,https://ecs.syracuse.edu/faculty-staff/andra-lee
Tong Lin,https://ecs.syracuse.edu/faculty-staff/tong-lin
Xiyuan Liu,https://ecs.syracuse.edu/faculty-staff/xiyuan-liu
Weisi Liu,https://ecs.syracuse.edu/faculty-staff/weisi-liu
Min Liu,https://ecs.syracuse.edu/faculty-staff/min-liu
Yizhi Liu,https://ecs.syracuse.edu/faculty-staff/yizhi-liu
Linda Lowe,https://ecs.syracuse.edu/faculty-staff/linda-lowe
Eric M. Lui,https://ecs.syracuse.edu/faculty-staff/eric-m-lui
Aoyi Luo,https://ecs.syracuse.edu/faculty-staff/aoyi-luo-starting-fall-2023
Zhen Ma,https://ecs.syracuse.edu/faculty-staff/zhen-ma
Sinéad C. Mac Namara,https://ecs.syracuse.edu/faculty-staff/sinead-c-mac-namara
Sarah Mack,https://ecs.syracuse.edu/faculty-staff/sarah-mack
Paul Mackanos,https://ecs.syracuse.edu/faculty-staff/paul-mackanos
Melissa Maldanado,https://ecs.syracuse.edu/faculty-staff/melissa-maldanado
Kwami Maranga,https://ecs.syracuse.edu/faculty-staff/kwami-maranga-2
Duane L. Marcy,https://ecs.syracuse.edu/faculty-staff/duane-l-marcy
Shalabh C. Maroo,https://ecs.syracuse.edu/faculty-staff/shalabh-c-maroo
Hong Martel,https://ecs.syracuse.edu/faculty-staff/hong-martel
Karen Martinez Soto,https://ecs.syracuse.edu/faculty-staff/karen-martinez-soto
Joao Paulo Marum,https://ecs.syracuse.edu/faculty-staff/joao-paulo-marum
Jean-Daniel Medjo,https://ecs.syracuse.edu/faculty-staff/jean-daniel-medjo-me-biomo
Kristopher Micinski,https://ecs.syracuse.edu/faculty-staff/kristopher-micinski
Aaron Mohammed,https://ecs.syracuse.edu/faculty-staff/aaron-mohammed
Chilukuri K. Mohan,https://ecs.syracuse.edu/faculty-staff/chilukuri-k-mohan
Bruce Molino,https://ecs.syracuse.edu/faculty-staff/bruce-molino
Mario Montesdeoca,https://ecs.syracuse.edu/faculty-staff/mario-montesdeoca
Young B. Moon,https://ecs.syracuse.edu/faculty-staff/young-b-moon
Mary Murphy,https://ecs.syracuse.edu/faculty-staff/mary-murphy
Shikha Nangia,https://ecs.syracuse.edu/faculty-staff/shikha-nangia
Dawit Negussey,https://ecs.syracuse.edu/faculty-staff/dawit-negussey
Rebecca Noble,https://ecs.syracuse.edu/faculty-staff/rebecca-noble
Jae C. Oh,https://ecs.syracuse.edu/faculty-staff/jae-c-oh
Susan Older,https://ecs.syracuse.edu/faculty-staff/susan-older
Anupam Pandey,https://ecs.syracuse.edu/faculty-staff/anupam-pandey
Steven Penn,https://ecs.syracuse.edu/faculty-staff/stephen-penn
Malea Perkins,https://ecs.syracuse.edu/faculty-staff/malea-perkins
Vir V. Phoha,https://ecs.syracuse.edu/faculty-staff/vir-v-phoha
Jeremy Pierce,https://ecs.syracuse.edu/faculty-staff/jeremy-pierce
Peter Plumley,https://ecs.syracuse.edu/faculty-staff/peter-plumley
Jason Pollack,https://ecs.syracuse.edu/faculty-staff/jason-pollack
Savonne Proctor,https://ecs.syracuse.edu/faculty-staff/savonne-proctor
Kate Pynn,https://ecs.syracuse.edu/faculty-staff/kate-pynn
Quinn Qiao,https://ecs.syracuse.edu/faculty-staff/quinn-qiao
Zhao Qin,https://ecs.syracuse.edu/faculty-staff/zhao-qin
Qinru Qiu,https://ecs.syracuse.edu/faculty-staff/qinru-qiu
Younes Ra’di,https://ecs.syracuse.edu/faculty-staff/younes-radi
Farzana Rahman,https://ecs.syracuse.edu/faculty-staff/farzana-rahman
Sabina Redington,https://ecs.syracuse.edu/faculty-staff/sabina-redington
Allen Reed,https://ecs.syracuse.edu/faculty-staff/allen-reed
Dacheng Ren,https://ecs.syracuse.edu/faculty-staff/dacheng-ren
Jorge Romeu,https://ecs.syracuse.edu/faculty-staff/jorge-romeu
Tamara Rosanio,https://ecs.syracuse.edu/faculty-staff/tamara-rosanio
Utpal Roy,https://ecs.syracuse.edu/faculty-staff/uptal-roy
Cynthia Salanger,https://ecs.syracuse.edu/faculty-staff/cynthia-salanger
Baris Salman,https://ecs.syracuse.edu/faculty-staff/baris-salman
Sarah Samir,https://ecs.syracuse.edu/faculty-staff/sarah-samir
Ashok S. Sangani,https://ecs.syracuse.edu/faculty-staff/ashok-s-sangani
Amit K. Sanyal,https://ecs.syracuse.edu/faculty-staff/amit-k-sanyal
Mehmet Sarimurat,https://ecs.syracuse.edu/faculty-staff/mehmet-sarimurat
Wanliang Shan,https://ecs.syracuse.edu/faculty-staff/wanliang-shan
Ian M. Shapiro,https://ecs.syracuse.edu/faculty-staff/ian-shapiro
Jim Sheedy,https://ecs.syracuse.edu/faculty-staff/bruce-carlson
Andrea Shen,https://ecs.syracuse.edu/faculty-staff/andrea-shen
Yilei Shi,https://ecs.syracuse.edu/faculty-staff/yilei-shi
Cindy Smith,https://ecs.syracuse.edu/faculty-staff/cindy-smith
J. Cole Smith,https://ecs.syracuse.edu/faculty-staff/j-cole-smith
Lilly Smolak,https://ecs.syracuse.edu/faculty-staff/lilly-smolak
Pranav Soman,https://ecs.syracuse.edu/faculty-staff/pranav-soman
Sucheta Soundarajan,https://ecs.syracuse.edu/faculty-staff/sucheta-soundarajan
Gabrielle Spencer,https://ecs.syracuse.edu/faculty-staff/gabrielle-spencer
James Spoelstra,https://ecs.syracuse.edu/faculty-staff/james-spoelstra
David Stablein,https://ecs.syracuse.edu/faculty-staff/david-stablein
Chris Stathatos,https://ecs.syracuse.edu/faculty-staff/chris-stathatos
Emilia Stojanovski,https://ecs.syracuse.edu/faculty-staff/emilia-stojanovski
Yiyang Sun,https://ecs.syracuse.edu/faculty-staff/yiyang-sun
Radhakrishna (Suresh) Sureshkumar,https://ecs.syracuse.edu/faculty-staff/radhakrishna-suresh-sureshkumar
Yuzhe Tang,https://ecs.syracuse.edu/faculty-staff/yuzhe-tang
Svetoslava Todorova,https://ecs.syracuse.edu/faculty-staff/svetoslava-todorova
John Trimmer,https://ecs.syracuse.edu/faculty-staff/john-trimmer
Yoko Urao,https://ecs.syracuse.edu/faculty-staff/yoko-urao
William E. VanNordstrand,https://ecs.syracuse.edu/faculty-staff/william-e-vannordstrand
Pramod K. Varshney,https://ecs.syracuse.edu/faculty-staff/pramod-k-varshney
Gabriela Vásquez Jiménez,https://ecs.syracuse.edu/faculty-staff/gabriela-vasquez-jimenez
Stephanie Vasta,https://ecs.syracuse.edu/faculty-staff/stephanie-vasta
Senem Velipasalar,https://ecs.syracuse.edu/faculty-staff/senem-velipasalar
Kelly Venturini,https://ecs.syracuse.edu/faculty-staff/kelly-venturini
Joseph J. Waclawski,https://ecs.syracuse.edu/faculty-staff/joseph-j-waclawski
Theodore Walker,https://ecs.syracuse.edu/faculty-staff/theodore-walker
Li Wang,https://ecs.syracuse.edu/faculty-staff/li-wang
Yeqing Wang,https://ecs.syracuse.edu/faculty-staff/yeqing-wang
Yaoying Wu,https://ecs.syracuse.edu/faculty-staff/yaoying-wu
Matt Yager,https://ecs.syracuse.edu/faculty-staff/matt-yager
Melissa Young,https://ecs.syracuse.edu/faculty-staff/melissa-young
Edmund S. Yu,https://ecs.syracuse.edu/faculty-staff/edmund-s-yu
Pun To (Douglas) Yung,https://ecs.syracuse.edu/faculty-staff/pun-to-douglas-yung
Reza Zafarani,https://ecs.syracuse.edu/faculty-staff/reza-zafarani
Teng Zeng,https://ecs.syracuse.edu/faculty-staff/teng-zeng
Jialiu Zeng,https://ecs.syracuse.edu/faculty-staff/jialiu-zeng
Jianshun “Jensen” Zhang,https://ecs.syracuse.edu/faculty-staff/jianshun-jensen-zhang
Teng Zhang,https://ecs.syracuse.edu/faculty-staff/teng-zhang
Junzhe Zhang,https://ecs.syracuse.edu/faculty-staff/junzhe-zhang
Yi Zheng,https://ecs.syracuse.edu/faculty-staff/yi-zheng
Fernando Zigunov,https://ecs.syracuse.edu/faculty-staff/fernando-zigunov
